不重複,,Date Created,Platform,Model #,Accessories,Brand,Title,SKU,Product URL,Image URL,Exclude Update,20260101
不重複,,2026-01-04-01,R-Hornbach,BTS-250PRO,"with saw blade x1, battery x1, stand x1",BAMATO,BAMATO Tischkreissäge BTS-250PRO | inklusive XXL Lieferumfang | stabiler Parallelanschlag | schwenkbares Sägeblatt | Tischverbreiterung | Kreissäge Baukreissäge | 230V,12611796,https://www.hornbach.de/p/bamato-tischkreissaege-bts-250pro-inklusive-xxl-lieferumfang-stabiler-parallelanschlag-schwenkbares-saegeblatt-tischverbreiterung-kreissaege-baukreissaege-230v/12611796/,https://media.hornbach.de/mp/packshot/0abd71ec-9d2b-4508-9b82-df97bedafac7?size=1400,N,1099
不重複,,2026-01-04-01,R-Hornbach,BTS-315,-,BAMATO,BAMATO BTS-315 | Tischkreissäge (230V) | inklusive XXL Lieferumfang | stabiler Parallelanschlag | Neigung bis 45° | Schnittbreiten bis 600 mm | Kreissäge Baukreissäge,12611798,https://www.hornbach.de/p/bamato-bts-315-tischkreissaege-230v-inklusive-xxl-lieferumfang-stabiler-parallelanschlag-neigung-bis-45-schnittbreiten-bis-600-mm-kreissaege-baukreissaege/12611798/,https://media.hornbach.de/mp/packshot/2ed6c502-dfbb-490c-bb38-e771f6efbc1f?size=1400,N,775
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Top Precision Best for Wood 300 x 30 x 3,2 mm 72 Zähne",4406781,https://www.obi.de/p/4406781/bosch-kreissaegeblatt-top-precision-best-for-wood-300-x-30-x-3-2-mm-72-zaehne,https://bilder.obi.de/c87e9d1e-8ba1-49fe-a257-b0034ac98c25/prZZK/image.jpeg,Y,239.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Top Precision Best for Wood 300 x 30 x 3,2 mm 48 Zähne",4406757,https://www.obi.de/p/4406757/bosch-kreissaegeblatt-top-precision-best-for-wood-300-x-30-x-3-2-mm-48-zaehne,https://bilder.obi.de/4d74b4c4-7e07-481e-a309-c6af3acfc869/prZZK/image.jpeg,Y,214.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Expert for Wood 300 x 30 x 2,4 mm 72 Zähne",4406070,https://www.obi.de/p/4406070/bosch-kreissaegeblatt-expert-for-wood-300-x-30-x-2-4-mm-72-zaehne,https://bilder.obi.de/df65acaa-bd90-4c99-8494-b33cb20b84e2/prZZK/image.jpeg,Y,169.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Expert for Wood 300 x 30 x 3,2 mm 72 Zähne",4406302,https://www.obi.de/p/4406302/bosch-kreissaegeblatt-expert-for-wood-300-x-30-x-3-2-mm-72-zaehne,https://bilder.obi.de/d6903c0a-d06d-42d2-b450-5aa63878b9fb/prZZK/image.jpeg,Y,159.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Top Precision Best for Wood 300 x 30 x 3,2 mm 96 Zähne",4406815,https://www.obi.de/p/4406815/bosch-kreissaegeblatt-top-precision-best-for-wood-300-x-30-x-3-2-mm-96-zaehne,https://bilder.obi.de/5cccf50f-4b7b-4b7d-a434-8be4617d92de/prZZK/image.jpeg,Y,154.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,"Bosch Kreissägeblatt Expert for Wood 300 x 30 x 3,2 mm 60 Zähne",4406286,https://www.obi.de/p/4406286/bosch-kreissaegeblatt-expert-for-wood-300-x-30-x-3-2-mm-60-zaehne,https://bilder.obi.de/9e62122c-a786-48f7-908c-19b66c41700d/prZZK/image.jpeg,Y,139.99
不重複,,2026-01-04-01,R-OBI,-,with saw blade x1,Bosch,Bosch Kreissägeblatt Top Precision Best for Laminated Panel Abrasive 9 Zähne,4407003,https://www.obi.de/p/4407003/bosch-kreissaegeblatt-top-precision-best-for-laminated-panel-abrasive-9-zaehne,https://bilder.obi.de/e6096616-c1e8-4e32-b232-31639c4512dc/prZZK/image.jpeg,Y,134.99
不重複,,2026-01-04-01,R-Conrad,GKS 18V-70 L,with battery x1,Bosch,"Bosch GKS 18V-70 L Akku Kreissäge 18 V Brushless 190 mm BITURBO + 1x ProCORE Akku 5,5 Ah + Ladegerät + L-Boxx",878761213,https://www.conrad.de/de/p/bosch-gks-18v-70-l-akku-kreissaege-18-v-brushless-190-mm-biturbo-1x-procore-akku-5-5-ah-ladegeraet-l-boxx-878761213.html,https://asset.conrad.com/media10/isa/160267/c1/-/de/878757870PI00/bosch-gks-18v-70-l-akku-kreissaege-18-v-brushless-190-mm-biturbo-1x-procore-akku-5-5-ah-ladegeraet-l-boxx.jpg?x=300&y=300,Y,497.29
不重複,,2026-01-04-01,R-GoTools,GTM 12 JL,"with saw blade x1, battery x1, stand x1",Bosch,Bosch Kombinationssäge GTM 12 JL mit Arbeitstisch GTA 2600 Professional im Set,113731,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/fachhandels-sondertypen/bosch-kombinationssaege-gtm-12-jl-mit-arbeitstisch-gta-2600-professional-im-set_113731_4720,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/113731/middle/IMG-RD-265129-117.jpg.avif,N,829.99
不重複,,2026-01-04-01,R-GoTools,GTM 12 JL,"with saw blade x1, battery x1, stand x1",Bosch,Bosch Kombinationssäge GTM 12 JL Professional inkl. 1x Sägeblatt im Karton,115471,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-kombinationssaege-gtm-12-jl-professional-inkl-1x-saegeblatt-im-karton_115471_6460,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/115471/middle/IMG-RD-376178-117.jpg.avif,N,636.99
