預覽圖,建立時間,平台,機型,配件,品牌,標題,SKU,網址,預覽圖片網址,排除更新,20251229,20251225
,2025-12-25-01,R-GoTools,GCM 12 GDL,with saw blade x1,Bosch,Bosch Kapp- und Gehrungssäge Paneelsäge GCM12GDL + Kreissägeblatt für Aluminium,118852,https://www.gotools.de/gt-specials/gotools-exclusives/bosch-kapp-und-gehrungssaege-paneelsaege-gcm12gdl-kreissaegeblatt-fuer-aluminium_118852_9848,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/118852/middle/118852-0601B23600-neu1.jpg.avif,N,1035.99,1035.99
,2025-12-25-01,R-Bauhaus,GCM 12 SDE,with saw blade x1,Bosch,Paneelsäge GCM 12 SDE,26281485,https://www.bauhaus.at/kapp-gehrungssaegen/bosch-professional-paneelsaege-gcm-12-sde/p/26281485,https://media.cdn.bauhaus/m/181725/15.jpg,N,795,795
,2025-12-25-01,R-Hornbach,GCM 12 SDE,with saw blade x1,Bosch,Paneelsäge Bosch Professional GCM 12 SDE Professional inkl. 1 x Kreissägeblatt,6759737,https://www.hornbach.de/p/paneelsaege-bosch-professional-gcm-12-sde-professional-inkl-1-x-kreissaegeblatt/6759737/,https://media.cdn.bauhaus/m/181725/15.jpg,N,799,799
,2025-12-25-01,R-OBI,GCM 12 SDE,with saw blade x1,Bosch,Bosch Professional Paneel-Säge GCM 12 SDE 1.800 W mit Kreissägeblatt 305 mm,7941974,https://www.obi.de/p/7941974/bosch-professional-paneel-saege-gcm-12-sde-1-800-w-mit-kreissaegeblatt-305-mm,https://media.cdn.bauhaus/m/181725/15.jpg,N,799.99,799.99
,2025-12-25-01,R-Conrad,GCM 12 SDE,with saw blade x1,Bosch,Bosch Professional GCM 12 SDE Paneelsäge 305 mm 30 mm 1800 W,1391444,https://www.conrad.de/de/p/bosch-professional-gcm-12-sde-paneelsaege-305-mm-30-mm-1800-w-1391444.html,https://media.cdn.bauhaus/m/181725/15.jpg,N,802.52,802.52
,2025-12-25-01,R-GoTools,GCM 12 SDE,with saw blade x1,Bosch,Bosch Paneelsäge GCM 12 SDE Professional,115469,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-paneelsaege-gcm-12-sde-professional_115469_6458,https://media.cdn.bauhaus/m/181725/15.jpg,N,942.99,942.99
,2025-12-25-01,Bosch,GCM 12 SDE,with saw blade x1,Bosch,GCM 12 SDE,0601B23100,https://www.bosch-professional.com/de/de/products/gcm-12-sde-0601B23100,https://media.cdn.bauhaus/m/181725/15.jpg,N,1157,1157
,2025-12-25-01,R-Contorion,GCM 12 SDE,with saw blade x1,Bosch,Bosch Paneelsäge GCM 12 SDE,62903609,https://www.contorion.de/p/bosch-paneelsaege-gcm-12-sde-62903609,https://media.cdn.bauhaus/m/181725/15.jpg,N,1107.99,1107.99
,2025-12-25-01,R-GoTools,GCM 18V-216,with saw blade x1,Bosch,Bosch Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216 ohne Akku|Lader im Karton,120737,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/akku-geraete/kreissaegen/bosch-akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-ohne-akku-lader-im-karton_120737_11735,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/120737/middle/120737-0601B41000-neu.jpg.avif,N,403.99,403.99
,2025-12-25-01,R-GoTools,GCM 18V-216,"with saw blade x1, battery x2, charger x1",Bosch,"Bosch Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216, ProCORE Akkus 2x 8,0 Ah, Ladeg.",173167,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/akku-geraete/kreissaegen/bosch-akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-procore-akkus-2x-8-0-ah-ladeg_173167_64151,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/173167/middle/120737-0601B41000-V2.jpg.avif,N,723.99,723.99
,2025-12-25-01,R-GoTools,GCM 18V-216,"with saw blade x1, battery x2, charger x1",Bosch,"Bosch Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216 2x 8,0 Ah ProCore + Lader",120736,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/akku-geraete/kreissaegen/bosch-akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-2x-8-0-ah-procore-lader_120736_11734,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/120736/middle/120737-0601B41001-neu.jpg.avif,N,772.99,772.99
,2025-12-25-01,R-Toolineo,GCM 18V-216,"with saw blade x1, battery x1, charger x1",Bosch,"Bosch - Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216, 8,0 Ah",V00000002964391,https://toolineo.de/akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-80-ah-v00000002964391-prdV00000002964391,https://tlnzzassetsprd.blob.core.windows.net/images/web/472620_Produktbild_D1500010032383380200x200.jpg,N,986.58,986.58
,2025-12-25-01,R-OBI,GCM 18V-216 D,with saw blade x1,Bosch,Bosch Professional Akku-Kapp- und Gehrungssäge GCM 18 V-216 D,6095921,https://www.obi.de/p/6095921/bosch-professional-akku-kapp-und-gehrungssaege-gcm-18-v-216-d,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,449.99,449.99
,2025-12-25-01,R-Conrad,GCM 18V-216 D,with saw blade x1,Bosch,"Bosch Professional GCM 18V-216 D solo Akku-Kapp- und Gehrungssäge bürstenlos, ohne Akku, ohne Ladegerät 216 mm 30 mm",2804826,https://www.conrad.de/de/p/bosch-professional-gcm-18v-216-d-solo-akku-kapp-und-gehrungssaege-buerstenlos-ohne-akku-ohne-ladegeraet-216-mm-30-mm-2804826.html,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,403.49,399.16
,2025-12-25-01,R-OBI,GCM 18V-216 D,with saw blade x2,Bosch,Bosch Professional Akku-Kapp- und Gehrungssäge GCM 18V-216 D m. 2 x Sägeblatt,7171101,https://www.obi.de/p/7171101/bosch-professional-akku-kapp-und-gehrungssaege-gcm-18v-216-d-m-2-x-saegeblatt,https://bilder.obi.de/6f66d697-89b2-41fe-b7cf-59ba60c2c968/prZZD/image.jpeg,N,399.99,399.99
,2025-12-25-01,R-GoTools,GCM 18V-216 D,with saw blade x1,Bosch,Bosch Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216 D ohne Akku und Ladegerät,172385,https://www.gotools.de/marken/bosch/bosch-akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-d_172385_63374,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,409.69,409.69
,2025-12-25-01,R-Toolineo,GCM 18V-216 D,with saw blade x1,Bosch,"Bosch - Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216 D, 1 x Kreissägeblatt",V00000003667383,https://toolineo.de/akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-d-1-x-kreissaegeblatt-v00000003667383-prdV00000003667383,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,522.41,523.6
,2025-12-25-01,Bosch,GCM 18V-216 D,with saw blade x1,Bosch,GCM 18V-216 D,0601B51000,https://www.bosch-professional.com/de/de/products/gcm-18v-216-d-0601B51000,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,575,575
